X,Y,DESCRIP86,BUSINESS86,USECLASS86,USECLASS96,USECLASS04,USECLASS10,ADDRESS,POSTCODE,OBJECTID
327011.5433,674930.283500001,unknown use, ,UNKNOWN USE,Class 1,Class 1,Class 1,5 ALBION ROAD,EH7 5QJ,133
327015.8898,674931.370100001,confectionery, ,Class 1,Class 1,Class 4,Class 9, , ,134
327022.4803,674933.4803,vacant, ,Vacant,Vacant, , , , ,135
327028.4567,674934.5669,snack bar, ,Class 1,Class 1,Class 1,Class 1,11 ALBION ROAD,EH7 5QJ,136
327033.3465,674935.6535,vacant, ,Vacant,Class 1,Class 1,Class 1,13 ALBION ROAD,EH7 5QJ,137
327199.0866,674944.5669,public house, ,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,49 ALBION ROAD,EH7 5QP,138
327178.9134,674924.3465,car sales, ,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,36-36A ALBION R,EH7 5QU,139
327182.7165,674918.9134,unknown, ,UNKNOWN USE,SUI GENERIS,SUI GENERIS,SUI GENERIS,38 ALBION ROAD,EH7 5QU,140
327185.4331,674912.937000001,bakery (non-retail), ,Class 4,Class 11,Class 11,Class 11,42-44 ALBION RO,EH7 5QU,141
327230.45,674850.3202,cosmetic manufacturer, ,Class 4,Class 1, , , , ,142
327237.6131,674846.2665,vacant, ,Vacant,Vacant,Vacant,Vacant,58 ALBION ROAD,EH7 5QZ,143
322568.5184,672179.2147,dentist, ,Class 2,Class 2, , , , ,144
322565.3849,672184.7853,car accessories, ,Class 1,Class 1, , , , ,145
322308.2289,670979.7711,bank, ,Class 2,Class 4,Class 4,Class 4,1 ALLAN PARK RO,EH14 1LD,146
324467.0407,673638.979699999,grocer, ,Class 1,Class 1,Class 1,Class 1,33 ALVA STREET,EH2 4PS,147
324452.842,673658.0407,restaurant, ,Class 3,Class 3,Class 3,Class 1,34-34B ALVA STR,EH2 4PY,148
324937.073,672306.9628,bicycles, ,Class 1,Class 1, , , , ,149
324939.8511,672301.962300001,musical instruments, ,Class 1,Class 1, , , , ,150
324945.222,672291.0353,plumber, ,Class 4,Class 4, , , , ,151
324948.0,672285.4793,grocer (lic), ,Class 1,Class 1, , , , ,152
325827.785,673648.6764,restaurant, ,Class 3,Class 3, , , , ,153
325994.7159,676929.4539,public house, ,SUI GENERIS,SUI GENERIS, , , , ,154
325985.6384,676931.269400001,hairdresser, ,Class 1,Class 4,Class 2,Class 2,5 ANCHORFIELD,EH6 4JG,155
325980.6457,676932.177100001,baker, ,Class 1,Class 1,Class 1,Vacant,6 ANCHORFIELD,EH6 4JG,156
325975.5388,676933.4465,n/t/c, ,Class 1,Class 1,Class 1,Vacant,7 ANCHORFIELD,EH6 4JG,157
325970.5461,676934.3543,decorating materials & equipt., ,Class 1,Class 3,Class 3,Vacant,9 ANCHORFIELD,EH6 4JG,158
