X,Y,OBJECTID,DESCRIP15,BUSINESS15,USECLASS15,CVR15_POST,EASTING,NORTHING,ADDRESS
326273,673718,836,tweeds / woollens,Macraes of Edinburgh,Class 1,EH8 8DQ,326273,673718,208 CANONGATE
326261,673715,837,public house,The Canon's Gait,SUI GENERIS,EH8 8DQ,326261,673715,232 CANONGATE
326236,673707,838,restaurant,Pancho Villa's,Class 3,EH8 8AB,326236,673707,240 CANONGATE
326212,673703,839,caf‚,Table Top Caf‚,Class 3,EH8 8AB,326212,673703,244 CANONGATE
326209,673703,840,"tattoo studio, body piercing",Tribal Body Jewellery,Class 2,EH8 8AA,326209,673703,248 CANONGATE
326204,673702,841,caf‚,Mini Bakehouse,Class 3,EH8 8AA,326204,673702,250 CANONGATE
326196,673701,842,whisky and cigar specialist,Teasurer 1874,Class 1,EH8 8AA,326196,673701,254 CANONGATE
326188,673700,843,public house,White Horse,SUI GENERIS,EH8 8AA,326188,673700,266 CANONGATE
326182,673699,844,"clothing, footwear",focus,Class 1,EH8 8AA,326182,673699,270 CANONGATE
326179,673698,845,fine art,Royal Mile Gallery,Class 1,EH8 8AA,326179,673698,272 CANONGATE
326174,673697,846,caf‚,Le Caf‚ Royal,Class 3,EH8 8AA,326174,673697,274 CANONGATE
326169,673696,847,mens clothing,Solo Menswear,Class 1,EH8 8AA,326169,673696,276 CANONGATE
326165,673694,848,clothing,Ragamuffin,Class 1,EH8 8AA,326165,673694,278 CANONGATE
325354,675021,849,public house,Cross & Corner,SUI GENERIS,EH3 5HA,325354,675021,1 CANONMILLS
325333,675028,850,cafe,Bluebird Cafe,Class 3,EH3 5HA,325333,675028,5 CANONMILLS
325296,675018,851,petrol filling station & shop,BP,Class 1,EH3 5HA,325296,675018,23 CANONMILLS
325242,675051,852,interiors,Napier,Class 1,EH3 5LH,325242,675051,30 CANONMILLS
325203,675077,853,restaurant & shop,EARTHY FOODS & GOODS LTD,Class 3,EH3 5LF,325203,675077,1-6 CANONMILLS BRIDGE
